YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M
2013,6037236400,Census Tract 2364,Los Angeles,Los Angeles County,California,LosAngeles,920.0,56.0,1166.0,183.0,1444.0,120.0
2013,6037237101,Census Tract 2371.01,Los Angeles,Los Angeles County,California,LosAngeles,659.0,81.0,852.0,64.0,1064.0,191.0
2013,6037237102,Census Tract 2371.02,Los Angeles,Los Angeles County,California,LosAngeles,534.0,137.0,776.0,64.0,969.0,79.0
2013,6037237201,Census Tract 2372.01,Los Angeles,Los Angeles County,California,LosAngeles,739.0,106.0,941.0,62.0,1126.0,91.0
2013,6037237202,Census Tract 2372.02,Los Angeles,Los Angeles County,California,LosAngeles,610.0,214.0,861.0,104.0,1104.0,109.0
2013,6037237300,Census Tract 2373,Los Angeles,Los Angeles County,California,LosAngeles,677.0,91.0,883.0,80.0,1097.0,94.0
2013,6037237401,Census Tract 2374.01,Los Angeles,Los Angeles County,California,LosAngeles,673.0,85.0,765.0,47.0,1156.0,282.0
2013,6037237402,Census Tract 2374.02,Los Angeles,Los Angeles County,California,LosAngeles,230.0,23.0,471.0,212.0,1072.0,578.0
2013,6037237500,Census Tract 2375,Los Angeles,Los Angeles County,California,LosAngeles,629.0,108.0,851.0,71.0,1101.0,98.0
2013,6037237600,Census Tract 2376,Los Angeles,Los Angeles County,California,LosAngeles,635.0,116.0,817.0,76.0,1038.0,123.0
2013,6037237710,Census Tract 2377.10,Los Angeles,Los Angeles County,California,LosAngeles,549.0,262.0,883.0,101.0,1138.0,97.0
2013,6037237720,Census Tract 2377.20,Los Angeles,Los Angeles County,California,LosAngeles,728.0,120.0,865.0,36.0,1026.0,179.0
2013,6037237800,Census Tract 2378,Los Angeles,Los Angeles County,California,LosAngeles,535.0,95.0,940.0,207.0,1236.0,243.0
2013,6037237900,Census Tract 2379,Los Angeles,Los Angeles County,California,LosAngeles,804.0,253.0,888.0,287.0,1420.0,157.0
2013,6037238000,Census Tract 2380,Los Angeles,Los Angeles County,California,LosAngeles,497.0,451.0,1134.0,157.0,1387.0,98.0
2013,6037238100,Census Tract 2381,Los Angeles,Los Angeles County,California,LosAngeles,540.0,246.0,853.0,100.0,1127.0,84.0
2013,6037238200,Census Tract 2382,Los Angeles,Los Angeles County,California,LosAngeles,703.0,108.0,1001.0,188.0,1219.0,70.0
